Company,City,County,State,yr built,cases_jul_17,date_first_case,_deaths,date_first_death,num_employees,num_tests,any_closure,flag?,close_date,reopen_date,meat_type,estnumber,line_speed_waiver,Sources,Notes,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link
California Farms Meat,Vernon,Los Angeles,California,,unknown,5/24/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,meat/poultry,M48082+P48082+V48082,,Los Angeles Times,,https://www.latimes.com/california/story/2020-05-24/coronavirus-outbreaks-occur-at-9-industrial-facilities-in-vernon,,,,,,,,,,,,,,,,,
Calumet Diversified Meats,Pleasant Prairie,Kenosha,Wisconsin,,"22; 1 of 14 affected plants w/ a total of 860 positive cases, per CDC",4/28/2020,"2; 4 total, per CDC",4/28/2020,unclear,unclear,No,,n/a,n/a,pork,M1972+P17898+V1972,,"Milwaukee Journal-Sentinel, TMJ4 Milwaukee, Kenosha County press release, Kenosha News, Centers for Disease Control and Prevention",,https://www.jsonline.com/story/news/2020/04/28/more-wisconsin-meatpacking-workers-hit-coronavirus/3034621001/,https://www.tmj4.com/news/coronavirus/two-covid-19-deaths-at-kenosha-co-meat-processing-plant-prompts-for-cdc-investigation,https://www.kenoshacounty.org/CivicAlerts.aspx?AID=1618,https://www.jsonline.com/story/news/2020/04/28/more-wisconsin-meatpacking-workers-hit-coronavirus/3034621001/,https://www.kenoshanews.com/news/local/national-guard-conducts-testing-at-two-kenosha-meat-processing-facilities/article_1efaad0c-c0cb-536c-8d3d-0750c017cbe6.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,https://www.jsonline.com/story/news/2020/07/31/wisconsin-food-plants-failed-protect-workers-covid-19-smithfield-birds-eye-diversified-meats-calumet/5334812002/,,,,,,,,,,,
Cargill,Springdale,Washington/Benton,Arkansas,1965,"181; total of 3,306 positive cases in state, per Arkansas Dept of Health",5/30/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,M13289+P963,,"Arkansas Democrat-Gazette, Arkansas Department of Health",state health reports obtained by Heather Schlitz of Midwest Center,https://www.arkansasonline.com/news/2020/may/30/coronavirus-cases-at-meat-plants-rise-d/?news-arkansas-nwa,https://www.documentcloud.org/documents/6939504-Arkansas-Poultry-Covid-Clusters-Summary-6-5-2020.html,https://www.documentcloud.org/documents/6945186-Arkansas-Poultry-COVID-Summary-6-12-2020.html,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,https://www.documentcloud.org/documents/6988953-Arkansas-7-13-20-Poultry-COVID-Summary-FINAL.html,https://www.facingsouth.org/2020/06/protesters-demand-closure-arkansas-covid-19-affected-poultry-plants,https://www.meatpoultry.com/articles/19289-cargill-knows-turkey,,,,,,,,,,,
Cargill,Fort Morgan,Morgan,Colorado,1966,95,4/15/2020,4,4/15/2020,unclear,unclear,No,,n/a,n/a,beef,M86R,,Colorado Dept of Public Health and Environment,,https://covid19.colorado.gov/outbreak-data,https://www.denverpost.com/2020/04/16/cargill-meat-plant-coronavirus-covid-fort-morgan/,https://www.cargill.com/doc/1432076017375/fort-morgan-co-plant-details.pdf,,,,,,,,,,,,,,,
Cargill,Dodge City,Ford,Kansas,1979,"537; total of 3,205 positive cases in state, per Wichita Eagle",4/20/2020,"3; total of 17, per Wichita Eagle",6/16/2020,unclear,unclear,No,,n/a,n/a,beef,M86K,,"KAKE, Dodge City Daily Globe, Midwest Center reporting, Wichita Eagle, State of Kansas spreadsheet showing outbreaks obtained via Kansas Open Records Act",UFCW union worker at plant said the number on a conference call; Wichita Eagle obtained secret list of hot spots in Kansas,http://www.kake.com/story/42026050/kansas-meatpacking-plants-have-coronavirus-cases-and-stay-open-amid-safety-concerns,https://www.dodgeglobe.com/news/20200408/national-beef-confirms-covid-19-case-outlines-safety-steps,https://www.kansas.com/news/coronavirus/article243306751.html,https://www.kansas.com/news/coronavirus/article243305606.html,https://www.documentcloud.org/documents/6946542-KansasClusterReport.html,https://www.kansas.com/news/coronavirus/article244190362.html,https://www.cargill.com/story/an-evolution-in-beef-distribution,,,,,,,,,,,
Cargill,Marshall,Saline,Missouri,1972,42,4/25/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,"beef, pork",M85M+P85M,,"KBIA, AP",,https://www.kbia.org/post/covid-19-cases-confirmed-mid-missouri-meat-processing-plant#stream/0,https://apnews.com/5ac536a2684368531c48ee1be0719f7f,https://apnews.com/28eb04428455e7e1e5b7f58578240c7d,,,,,,,,,,,,,,,
Cargill,Schuyler,Colfax,Nebraska,1969,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,5/4/2020,5/18/2020,beef,M86M,,Omaha World-Herald,Midwest Center confirmed,https://www.omaha.com/news/state_and_regional/fremont-chicken-plant-worker-dies-plants-in-madison-schuyler-to-close-temporarily/article_0791f20a-f47f-5c0e-9c9a-ede2ab0fd0a2.html,https://journalstar.com/business/local/nebraska-city-meatpacking-plant-bucks-outbreak-trend/article_4faf324d-fb35-57f6-a5d4-45a39229072b.html,https://journalstar.com/news/state-and-regional/govt-and-politics/ricketts-keeps-coronavirus-options-open-as-he-eyes-other-outbreaks/article_4b4742bc-c0a8-57b7-880b-0d54eada5181.html,https://careers.cargill.com/schuyler-ne,,,,,,,,,,,,,,
Cargill,Hazelton,Luzerne,Pennsylvania,2002,"164; 1 of 30 affected plants w/ total of 1,169 positives in state, per CDC",4/13/2020,n/a,n/a,900,unclear,Yes,,4/10/2020,4/22/2020,"beef, pork",M86P+P86P,,"CNN, Philadelphia Inquirer, Morning Call",,https://www.cnn.com/2020/04/08/business/meat-plant-closures-coronavirus/index.html,https://www.inquirer.com/jobs/labor/souderton-jbs-hazelton-cargil-meat-packing-workers-safety-osha-coronavirus-20200413.html,https://www.mcall.com/news/pennsylvania/mc-nws-pa-why-hazleton-20200412-mve5o6dpi5eb5pq2os3zmrbavq-story.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,
Cargill,Waco,McLennan,Texas,1965,1,5/9/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,turkey,M635+P635,,Waco Tribune-Herald,,https://www.wacotrib.com/news/local/at-least-2-waco-meat-processing-plant-workers-test-positive-for-covid-19-though-no/article_eb5fb584-59cc-5393-9250-eeb9a539f957.html,,,,,,,,,,,,,,,,,
Cargill,Dayton,Rockingham,Virginia,1950,"1 of 14 affected plants w/ a total of 1,109 positive cases, per CDC",5/1/2020,"1 worker death, per WHSV-TV; 10 total",5/1/2020,unclear,unclear,No,,n/a,n/a,poultry,P18,Yes,"Centers for Disease Control and Prevention, WHSV-TV",,https://www.cdc.gov/mmwr/volumes/69/wr/mm6918e3.htm?s_cid=mm6918e3_w#T2_down,https://www.whsv.com/2020/07/04/virginia-covid-19-cases-rise-by-716-on-saturday/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,https://www.meatpoultry.com/articles/8662-wild-about-turkey,,,,,,,,,,,,,,
Cargill,Milwaukee,Milwaukee,Wisconsin,,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,5/6/2020,5/11/2020,meat/poultry,M20654 +P20654,,Midwest Center reporting,Cargill spokesman Daniel Sullivan provided closure dates,,,,,,,,,,,,,,,,,,
Case Farms,Morganton,Burke,North Carolina,,"1 of 28 plants w/ total of 2,772 positive tests in state, per The Guardian",4/28/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P419,,"The News & Observer, North Carolina Health News, The News Herald, The Guardian","Could be Case Farms in Burke County, NC Public Radio reports only one plant in that county, News Herald reports Case Farms is only meatpacking plant in Burke County; Guardian reports a worker said there were 150 workers who tested positive, company wouldn't confirm, and Indy Week reported that, on a conference call, an anonymous worker said 3 workers had died",https://www.newsobserver.com/news/coronavirus/article242374006.html,https://www.northcarolinahealthnews.org/2020/05/01/smithfield-struggles-to-contain-covid/,https://www.wunc.org/post/working-fear-meat-processing-plant-employees-say-protective-measures-came-too-little-too-late,https://www.morganton.com/news/group-plans-to-protest-outside-case-farms-on-monday/article_a3e1c88d-ea48-52a9-a74a-2c6bbeb6b37b.html,https://www.bladenjournal.com/news/32615/coronavirus-north-carolina-meat-processing-plants-at-least-28-have-more-than-2700-cases,https://www.theguardian.com/environment/2020/jul/01/revealed-covid-19-outbreaks-meat-processing-plants-north-carolina,https://indyweek.com/news/northcarolina/covid-19-meatpacking-plants/,https://www.theguardian.com/environment/2020/jul/01/revealed-covid-19-outbreaks-meat-processing-plants-north-carolina,,,,,,,,,,
Case Farms,Winesburg,Holmes,Ohio,,unknown,5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P15724,,Columbus Dispatch,,https://www.dispatch.com/news/20200501/positive-cases-of-coronavirus-confirmed-at-case-farms-plant-in-winesburg/1,https://www.the-daily-record.com/news/20200501/case-farms-confirms-unspecified-number-of-coronavirus-cases,,,,,,,,,,,,,,,,
Central Valley Meat Co,Hanford,Kings,California,,138,5/7/2020,n/a,n/a,about 900 at 2 plants,unclear,No,Yes,n/a,n/a,beef,M6063A,,Los Angeles Times,,https://www.latimes.com/california/story/2020-05-07/138-employees-at-central-california-meat-plant-test-positive-for-coronavirus,https://www.fresnobee.com/news/business/agriculture/article242714526.html,,,,,,,,,,,,,,,,
CLW Foods,Vernon,Los Angeles,California,,unknown,5/24/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,meat,M44965+P44965,,Los Angeles Times,,https://www.latimes.com/california/story/2020-05-24/coronavirus-outbreaks-occur-at-9-industrial-facilities-in-vernon,https://abcnews.go.com/US/california-city-sees-covid-19-outbreaks-facilities-including/story?id=70871509,,,,,,,,,,,,,,,,
Colorado Premium,,Denver,Colorado,,9,5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,beef,M4891+P4891,,Colorado Dept of Public Health and Environment,,https://covid19.colorado.gov/data/outbreak-data,,,,,,,,,,,,,,,,,
Conagra,Quincy,Branch,Michigan,,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,4/28/2020,5/3/2020,meat,M44A+P44A,,"reporting from Don Reid, USA Today Network (Coldwater Daily Reporter/Hillsdale Daily News/Sturgis Journal )",,,,,,,,,,,,,,,,,,,
Creekstone Farms Premium Beef,Arkansas City,Cowley,Kansas,,"1; total of 2,939 positive cases in state, per Kansas Dept of Health and Environment",5/12/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,beef,M27,,"KWCH-TV, Wichita Eagle",,https://www.kansas.com/news/coronavirus/article242279426.html#adnrb=900000,https://www.kwch.com/content/news/Employee-at-Ark-City-meat-processing-plant-tests-positive-for-COVID-19-570424791.html,https://www.kansas.com/news/coronavirus/article243306751.html,https://www.documentcloud.org/documents/6946542-KansasClusterReport.html,https://www.kansas.com/news/coronavirus/article244190362.html,,,,,,,,,,,,,
CS Beef Packers,Kuna,Ada,Idaho,,"23; total of 72 in the state, per CDC",5/9/2020,n/a,n/a,700,unclear,No,,n/a,n/a,beef,M630,,"CBS2 Idaho News, Centers for Disease Control and Prevention",,https://idahonews.com/news/local/23-workers-at-a-kuna-meatpacking-plant-test-positive-for-coronavirus,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
CTI Foods,King of Prussia,Montgomery,Pennsylvania,,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,4/2/2020,4/16/2020,meat/poultry,M2069+P712,,AP,,https://cumberlink.com/news/state-and-regional/meat-plants-shut-down-in-pa-with-workers-testing-positive-for-covid-19/article_bc6bd111-5023-5699-b557-48891e1fe0a7.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
Dakota Provisions,Huron,Beadle,South Dakota,,"104; total of 1,593 positive cases in state, per CDC",5/15/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,turkey,M32130+P32130+V32130,,"Dakota News Now (ABC/NBC affiliate), Argus Leader",,https://www.dakotanewsnow.com/content/news/Dakota-Provisions-confirms-2-employees-at-Huron-plant-diagnosed-with-COVID-19-570506831.html,https://www.argusleader.com/story/news/2020/05/27/huron-south-dakota-coronavirus-cases-covid-19/5262379002/,https://www.argusleader.com/story/news/politics/2020/06/12/one-more-coronavirus-death-reported-south-dakota-77-new-cases/3174802001/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,https://www.argusleader.com/story/news/2020/07/09/coronavirus-south-dakota-deaths-surpass-100-state-covid-19/5404721002/,,,,,,,,,,,,,
Dale T. Smith and Sons Meat Packing Company,Draper,Salt Lake/Utah,Utah,,at least 1,6/16/2020,n/a,n/a,unclear,unclear,Yes,,6/11/2020,6/21/2020,meat/poultry,M4975 +P4975,,Salt Lake Tribune,Tribune: plant is much smaller than JBS plant,https://www.sltrib.com/news/2020/06/16/two-utah-meat-plants/,,,,,,,,,,,,,,,,,
DemKota Ranch Beef,Aberdeen,Brown,South Dakota,,"170; total of 1,593 positive cases in state, per CDC",5/20/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,beef,M45471+P45471,,"South Dakota Public Broadcasting, Argus Leader",,https://listen.sdpb.org/post/department-health-officials-update-covid-19-cases-tied-meat-plants,https://www.argusleader.com/story/news/politics/2020/06/12/one-more-coronavirus-death-reported-south-dakota-77-new-cases/3174802001/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,https://www.argusleader.com/story/news/2020/07/09/coronavirus-south-dakota-deaths-surpass-100-state-covid-19/5404721002/,,,,,,,,,,,,,,
Empire Kosher,Mifflintown,Juniata,Pennsylvania,,"""multiple""; 1 of 30 affected plants w/ total of 1,169 positives in state, per CDC",4/2/2020,n/a,n/a,unclear,unclear,Yes,,4/2/2020,4/16/2020,poultry,M1015+P1015,,Lewistown Sentinel,,https://www.lewistownsentinel.com/news/local-news/2020/04/empire-kosher-closed-for-2-weeks/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
Empire Meats Denver Processing,,Denver,Colorado,,20,5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,meat,n/a,,Colorado Dept of Public Health and Environment,Owned by JBS,https://covid19.colorado.gov/data/outbreak-data,,,,,,,,,,,,,,,,,
Fieldale Farms,Cornelia,Habersham,Georgia,,"unknown; 509 total positive cases in state, per CDC",4/29/2020,2,4/29/2020,unclear,unclear,No,,n/a,n/a,poultry,P1250,Yes,"Atlanta Journal-Constitution, Centers for Disease Control and Prevention","87 total employees tested positive at Fieldale's 3 plants in Murrayville, Gainvesville and Cornelia",https://www.ajc.com/news/breaking-news/hundreds-georgia-poultry-workers-have-tested-positive-for-covid/K0vGYEGTSbvAYIeU3I6qtM/,https://www.ajc.com/news/breaking-news/novel-coronavirus-sickening-more-georgia-poultry-workers/Um9LhexvwSDFRiWyURTRCJ/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,
Fieldale Farms,Gainesville,Hall,Georgia,,"unknown; 509 total positive cases in state, per CDC",4/29/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,M12650+P12650,,"Atlanta Journal-Constitution, Centers for Disease Control and Prevention","87 total employees tested positive at Fieldale's 3 plants in Murrayville, Gainvesville and Cornelia",https://www.ajc.com/news/breaking-news/hundreds-georgia-poultry-workers-have-tested-positive-for-covid/K0vGYEGTSbvAYIeU3I6qtM/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
Fieldale Farms,Murrayville,Hall,Georgia,,"unknown; 509 total positive cases in state, per CDC",4/29/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P1257,Yes,"Atlanta Journal-Constitution, Centers for Disease Control and Prevention","87 total employees tested positive at Fieldale's 3 plants in Murrayville, Gainvesville and Cornelia",https://www.ajc.com/news/breaking-news/hundreds-georgia-poultry-workers-have-tested-positive-for-covid/K0vGYEGTSbvAYIeU3I6qtM/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
Foster Farms,Demopolis,Marengo,Alabama,,11,5/15/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,M7322+P7322,,AL.com,,https://www.al.com/news/2020/05/do-i-have-the-right-to-know-if-my-coworker-tests-positive-for-coronavirus.html,,,,,,,,,,,,,,,,,
Foster Farms,Fresno,Fresno,California,,1,4/24/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P6137A,,KQED,"h/t Alexandra Hall, KQED",https://www.kqed.org/news/11814052/foster-farms-worker-tests-positive-for-covid-19-fresno-plant-stays-open,,,,,,,,,,,,,,,,,
Foster Farms,Farmerville,Union,Louisiana,,2,3/26/2020,n/a,n/a,unclear,unclear,Yes,,3/27/2020,3/27/2020,"poultry, turkey",M33901+P33901,,"KNOE8 News, Monroe News Star","h/t Alexandra Hall, KQED",https://www.knoe.com/content/news/Farmerville-plant-employees-fearful-of-COVID-19-spread-569267771.html,https://www.thenewsstar.com/story/news/2020/03/26/coronavirus-5-union-parish-inmates-isolation-due-covid-19-cases/2922367001/,,,,,,,,,,,,,,,,
Foster Farms,Kelso,Cowlitz,Washington,,"9; 1 of 7 affected plants w/ a total of 468 positive cases, per CDC",4/18/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P6164A,Yes,"KOIN6, Midwest Center reporting, The Daily News, Centers for Disease Control and Prevention",Foster Farms confirmed cases first detected 4/17 in a statement,https://www.koin.com/news/health/coronavirus/3-test-positive-for-virus-at-foster-farms-plant-in-kelso/,https://tdn.com/news/local/four-more-foster-farms-workers-test-positive-for-covid/article_8f4d79b1-fe30-52a3-9451-58dd713c2195.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,
Fresh Mark,Salem,Columbiana,Ohio,,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,4/13/2020,4/21/2020,pork,M15700+P15700,,WKBN,,https://www.wkbn.com/news/coronavirus/fresh-mark-plant-in-salem-remains-closed-this-week-due-to-covid-19/,,,,,,,,,,,,,,,,,
Gary's Meat,Payson,Utah,Utah,,at least 1,6/16/2020,n/a,n/a,20,unclear,Yes,,6/16/2020,6/24/2020,"beef, pork, lamb, goat",M21108,,Salt Lake Tribune,"Tribune: closing 6/16 and reopening 6/17, then closing for at least a week",https://www.sltrib.com/news/2020/06/16/two-utah-meat-plants/,,,,,,,,,,,,,,,,,
George's Poultry,Springdale,Washington,Arkansas,,"186; total of 3,306 positive cases in state, per Arkansas Dept of Health",6/5/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P208+V208,Yes,Arkansas Dept of Health,state health reports obtained by Heather Schlitz of Midwest Center,https://www.documentcloud.org/documents/6939504-Arkansas-Poultry-Covid-Clusters-Summary-6-5-2020.html,https://www.documentcloud.org/documents/6945186-Arkansas-Poultry-COVID-Summary-6-12-2020.html,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,https://www.documentcloud.org/documents/6988953-Arkansas-7-13-20-Poultry-COVID-Summary-FINAL.html,,,,,,,,,,,,,,
George's Processing,Cassville,Barry,Missouri,,2,6/10/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P13369 +V13369,Yes,Barry County Health Department press release,,http://www.barrycountyhealth.com/pdf/Two%20cases%20of%20COVID-19%20identified%20at%20local%20processing%20plant%2006.10.2020.pdf,,,,,,,,,,,,,,,,,
George's/Ozark Mountain Poultry,Rogers,Benton,Arkansas,,"277; total of 3,306 positive cases in state, per Arkansas Dept of Health",5/30/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,M21498+P21498,,"Arkansas Democrat-Gazette, Arkansas Department of Health",state health reports obtained by Heather Schlitz of Midwest Center,https://www.arkansasonline.com/news/2020/may/30/coronavirus-cases-at-meat-plants-rise-d/?news-arkansas-nwa,https://www.documentcloud.org/documents/6939504-Arkansas-Poultry-Covid-Clusters-Summary-6-5-2020.html,https://www.documentcloud.org/documents/6945186-Arkansas-Poultry-COVID-Summary-6-12-2020.html,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,https://www.documentcloud.org/documents/6988953-Arkansas-7-13-20-Poultry-COVID-Summary-FINAL.html,,,,,,,,,,,,,
Harris Ranch Beef Company,Selma,Fresno,California,,21,7/10/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,beef,M783 +P783 + V783,,Fresno Bee,,https://www.fresnobee.com/news/coronavirus/article243972602.html,,,,,,,,,,,,,,,,,
